FID,Data Bytes,Direction,Checksum,Time (ms)
11,[  0  :  0  :  0  :  181  ],Rx,PASSED,295528
12,[  255  :  255  :  255  :  213  ],Rx,PASSED,295528
3,[  255  :  153  :  3  :  176  ],Rx,PASSED,295528
4,[  255  :  252  :  249  :  184  ],Rx,PASSED,295533
5,[  0  :  12  :  60  :  80  ],Rx,PASSED,295533
7,[  255  :  255  :  255  :  249  ],Rx,PASSED,295533
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,295533
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,295533
10,[  255  :  255  :  255  :  181  ],Rx,PASSED,295538
11,[  0  :  0  :  0  :  181  ],Rx,PASSED,295538
12,[  255  :  255  :  255  :  213  ],Rx,PASSED,295538
1,[  0  :  32  :  7  :  64  ],Rx,PASSED,295538
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,295542
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,295542
3,[  255  :  154  :  4  :  32  ],Rx,PASSED,295542
4,[  255  :  250  :  249  :  168  ],Rx,PASSED,295542
5,[  0  :  13  :  60  :  148  ],Rx,PASSED,295542
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,295544
8,[  255  :  255  :  255  :  253  ],Rx,PASSED,295545
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,295545
10,[  255  :  255  :  255  :  242  ],Rx,PASSED,295545
11,[  0  :  0  :  0  :  59  ],Rx,PASSED,295545
12,[  0  :  0  :  0  :  18  ],Rx,PASSED,295547
6,[  0  :  0  :  0  :  0  ],Rx,PASSED,295547
13,[  64  :  0  :  4  :  0  ],Rx,PASSED,295547
14,[  127  :  111  :  216  :  0  ],Rx,PASSED,295547
15,[  127  :  127  :  220  :  0  ],Rx,PASSED,295547
3,[  255  :  154  :  4  :  84  ],Rx,PASSED,295548
4,[  255  :  248  :  249  :  200  ],Rx,PASSED,295553
5,[  0  :  12  :  60  :  236  ],Rx,PASSED,295553
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,295553
8,[  255  :  255  :  255  :  255  ],Rx,PASSED,295553
9,[  0  :  0  :  3  :  238  ],Rx,PASSED,295553
10,[  255  :  255  :  255  :  242  ],Rx,PASSED,295555
11,[  255  :  255  :  255  :  193  ],Rx,PASSED,295555
