FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  253  :  4  :  3  :  248  ],Rx,PASSED,176
4,[  255  :  87  :  248  :  156  ],Rx,PASSED,176
5,[  0  :  86  :  59  :  140  ],Rx,PASSED,176
7,[  255  :  255  :  255  :  255  ],Rx,PASSED,176
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,176
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,176
10,[  0  :  0  :  0  :  20  ],Rx,PASSED,176
11,[  255  :  255  :  255  :  235  ],Rx,PASSED,176
12,[  255  :  255  :  255  :  177  ],Rx,PASSED,176
3,[  253  :  27  :  3  :  232  ],Rx,PASSED,176
4,[  255  :  67  :  248  :  208  ],Rx,PASSED,176
5,[  0  :  81  :  59  :  152  ],Rx,PASSED,176
7,[  255  :  255  :  255  :  254  ],Rx,PASSED,176
8,[  0  :  0  :  0  :  1  ],Rx,PASSED,176
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,176
10,[  0  :  0  :  0  :  196  ],Rx,PASSED,176
11,[  255  :  255  :  255  :  83  ],Rx,PASSED,176
12,[  255  :  255  :  255  :  138  ],Rx,PASSED,176
3,[  253  :  27  :  3  :  232  ],Rx,PASSED,176
4,[  255  :  67  :  248  :  208  ],Rx,PASSED,176
5,[  0  :  81  :  59  :  152  ],Rx,PASSED,176
7,[  255  :  255  :  255  :  254  ],Rx,PASSED,176
8,[  0  :  0  :  0  :  1  ],Rx,PASSED,176
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,177
10,[  0  :  0  :  0  :  196  ],Rx,PASSED,177
11,[  255  :  255  :  255  :  83  ],Rx,PASSED,177
12,[  255  :  255  :  255  :  138  ],Rx,PASSED,177
3,[  252  :  245  :  4  :  84  ],Rx,PASSED,177
4,[  255  :  93  :  248  :  200  ],Rx,PASSED,177
5,[  0  :  76  :  59  :  220  ],Rx,PASSED,177
7,[  0  :  0  :  0  :  4  ],Rx,PASSED,177
8,[  0  :  0  :  0  :  1  ],Rx,PASSED,177
9,[  0  :  0  :  3  :  237  ],Rx,PASSED,177
10,[  255  :  255  :  255  :  162  ],Rx,PASSED,177
11,[  0  :  0  :  0  :  25  ],Rx,PASSED,177
12,[  255  :  255  :  255  :  100  ],Rx,PASSED,177
3,[  253  :  1  :  3  :  228  ],Rx,PASSED,177
4,[  255  :  122  :  248  :  104  ],Rx,PASSED,177
5,[  0  :  81  :  59  :  160  ],Rx,PASSED,177
7,[  255  :  255  :  255  :  253  ],Rx,PASSED,177
8,[  255  :  255  :  255  :  251  ],Rx,PASSED,177
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,177
10,[  255  :  255  :  255  :  254  ],Rx,PASSED,177
11,[  0  :  0  :  0  :  246  ],Rx,PASSED,177
12,[  255  :  255  :  255  :  138  ],Rx,PASSED,177
13,[  64  :  0  :  0  :  0  ],Rx,PASSED,177
14,[  64  :  0  :  3  :  255  ],Rx,PASSED,177
15,[  64  :  0  :  0  :  0  ],Rx,PASSED,177
3,[  252  :  237  :  4  :  16  ],Rx,PASSED,177
4,[  255  :  119  :  248  :  124  ],Rx,PASSED,177
5,[  0  :  105  :  59  :  168  ],Rx,PASSED,177
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,177
8,[  255  :  255  :  255  :  252  ],Rx,PASSED,177
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,177
10,[  255  :  255  :  255  :  101  ],Rx,PASSED,178
11,[  0  :  0  :  0  :  223  ],Rx,PASSED,178
12,[  0  :  0  :  0  :  66  ],Rx,PASSED,178
3,[  252  :  237  :  4  :  16  ],Rx,PASSED,178
4,[  255  :  119  :  248  :  124  ],Rx,PASSED,178
5,[  0  :  105  :  59  :  168  ],Rx,PASSED,178
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,178
8,[  255  :  255  :  255  :  252  ],Rx,PASSED,178
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,178
10,[  255  :  255  :  255  :  101  ],Rx,PASSED,178
11,[  0  :  0  :  0  :  223  ],Rx,PASSED,178
12,[  0  :  0  :  0  :  66  ],Rx,PASSED,178
3,[  252  :  248  :  4  :  28  ],Rx,PASSED,178
4,[  255  :  99  :  248  :  244  ],Rx,PASSED,178
5,[  0  :  82  :  59  :  248  ],Rx,PASSED,178
7,[  0  :  0  :  0  :  1  ],Rx,PASSED,178
8,[  0  :  0  :  0  :  3  ],Rx,PASSED,178
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,178
10,[  255  :  255  :  255  :  185  ],Rx,PASSED,178
11,[  0  :  0  :  0  :  71  ],Rx,PASSED,178
12,[  255  :  255  :  255  :  146  ],Rx,PASSED,178
3,[  253  :  2  :  4  :  76  ],Rx,PASSED,178
4,[  255  :  86  :  248  :  92  ],Rx,PASSED,178
5,[  0  :  83  :  59  :  116  ],Rx,PASSED,178
7,[  0  :  0  :  0  :  4  ],Rx,PASSED,178
8,[  255  :  255  :  255  :  250  ],Rx,PASSED,178
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,178
10,[  0  :  0  :  0  :  5  ],Rx,PASSED,178
11,[  255  :  255  :  255  :  227  ],Rx,PASSED,178
12,[  255  :  255  :  255  :  154  ],Rx,PASSED,179
1,[  0  :  0  :  0  :  0  ],Rx,PASSED,179
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,179
3,[  253  :  5  :  4  :  84  ],Rx,PASSED,179
4,[  255  :  85  :  248  :  216  ],Rx,PASSED,179
5,[  0  :  97  :  60  :  84  ],Rx,PASSED,179
7,[  0  :  0  :  0  :  4  ],Rx,PASSED,179
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,179
9,[  0  :  0  :  3  :  244  ],Rx,PASSED,179
10,[  0  :  0  :  0  :  28  ],Rx,PASSED,179
11,[  255  :  255  :  255  :  220  ],Rx,PASSED,179
12,[  0  :  0  :  0  :  5  ],Rx,PASSED,179
13,[  64  :  0  :  3  :  255  ],Rx,PASSED,179
14,[  64  :  0  :  3  :  255  ],Rx,PASSED,179
15,[  64  :  0  :  0  :  0  ],Rx,PASSED,179
3,[  253  :  5  :  4  :  24  ],Rx,PASSED,179
4,[  255  :  66  :  248  :  144  ],Rx,PASSED,179
5,[  0  :  69  :  59  :  252  ],Rx,PASSED,179
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,179
8,[  255  :  255  :  255  :  253  ],Rx,PASSED,179
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,179
10,[  0  :  0  :  0  :  28  ],Rx,PASSED,179
11,[  255  :  255  :  255  :  75  ],Rx,PASSED,179
12,[  255  :  255  :  255  :  47  ],Rx,PASSED,180
3,[  253  :  5  :  4  :  24  ],Rx,PASSED,181
4,[  255  :  66  :  248  :  144  ],Rx,PASSED,181
5,[  0  :  69  :  59  :  252  ],Rx,PASSED,181
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,181
8,[  255  :  255  :  255  :  253  ],Rx,PASSED,181
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,186
10,[  0  :  0  :  0  :  28  ],Rx,PASSED,186
11,[  255  :  255  :  255  :  75  ],Rx,PASSED,186
12,[  255  :  255  :  255  :  47  ],Rx,PASSED,186
3,[  252  :  246  :  3  :  216  ],Rx,PASSED,191
4,[  255  :  73  :  248  :  176  ],Rx,PASSED,191
5,[  0  :  73  :  60  :  48  ],Rx,PASSED,191
7,[  255  :  255  :  255  :  253  ],Rx,PASSED,191
