FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  158  :  250  :  72  ],Rx,PASSED,95
4,[  255  :  239  :  254  :  112  ],Rx,PASSED,95
5,[  0  :  14  :  61  :  128  ],Rx,PASSED,95
7,[  255  :  255  :  255  :  234  ],Rx,PASSED,95
8,[  255  :  255  :  255  :  232  ],Rx,PASSED,96
9,[  0  :  0  :  3  :  243  ],Rx,PASSED,96
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,96
11,[  0  :  0  :  0  :  94  ],Rx,PASSED,96
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,96
1,[  0  :  224  :  94  :  192  ],Rx,PASSED,101
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,102
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,102
3,[  255  :  163  :  250  :  176  ],Rx,PASSED,102
4,[  255  :  235  :  254  :  172  ],Rx,PASSED,102
5,[  0  :  8  :  60  :  188  ],Rx,PASSED,104
7,[  255  :  255  :  255  :  240  ],Rx,PASSED,104
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,104
9,[  0  :  0  :  3  :  232  ],Rx,PASSED,104
10,[  0  :  0  :  0  :  212  ],Rx,PASSED,104
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,108
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,108
13,[  127  :  143  :  223  :  251  ],Rx,PASSED,108
14,[  64  :  15  :  252  :  4  ],Rx,PASSED,108
15,[  127  :  159  :  228  :  0  ],Rx,PASSED,108
3,[  255  :  157  :  250  :  188  ],Rx,PASSED,112
4,[  255  :  236  :  254  :  216  ],Rx,PASSED,112
5,[  0  :  8  :  60  :  228  ],Rx,PASSED,112
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,112
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,112
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,116
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,116
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,116
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,116
3,[  255  :  157  :  250  :  188  ],Rx,PASSED,120
4,[  255  :  236  :  254  :  216  ],Rx,PASSED,121
5,[  0  :  8  :  60  :  228  ],Rx,PASSED,121
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,121
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,121
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,126
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,126
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,126
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,126
3,[  255  :  162  :  250  :  216  ],Rx,PASSED,130
4,[  255  :  234  :  254  :  184  ],Rx,PASSED,130
5,[  0  :  10  :  60  :  136  ],Rx,PASSED,130
7,[  255  :  255  :  255  :  243  ],Rx,PASSED,131
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,131
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,135
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,135
11,[  255  :  255  :  255  :  45  ],Rx,PASSED,135
