FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  252  :  220  :  234  :  168  ],Rx,PASSED,87
4,[  255  :  95  :  6  :  28  ],Rx,PASSED,87
5,[  0  :  83  :  55  :  48  ],Rx,PASSED,87
7,[  255  :  255  :  255  :  253  ],Rx,PASSED,87
8,[  0  :  0  :  0  :  0  ],Rx,PASSED,87
9,[  0  :  0  :  3  :  236  ],Rx,PASSED,88
10,[  255  :  255  :  254  :  251  ],Rx,PASSED,88
11,[  255  :  255  :  255  :  247  ],Rx,PASSED,88
12,[  255  :  255  :  255  :  206  ],Rx,PASSED,88
3,[  252  :  219  :  235  :  16  ],Rx,PASSED,93
4,[  255  :  36  :  6  :  12  ],Rx,PASSED,93
5,[  0  :  98  :  54  :  144  ],Rx,PASSED,93
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,93
8,[  255  :  255  :  255  :  255  ],Rx,PASSED,93
9,[  0  :  0  :  3  :  226  ],Rx,PASSED,98
10,[  255  :  255  :  254  :  244  ],Rx,PASSED,99
11,[  255  :  255  :  254  :  53  ],Rx,PASSED,99
12,[  0  :  0  :  0  :  64  ],Rx,PASSED,99
13,[  0  :  14  :  76  :  0  ],Rx,PASSED,99
14,[  0  :  3  :  232  :  0  ],Rx,PASSED,99
15,[  0  :  3  :  216  :  0  ],Rx,PASSED,99
3,[  253  :  20  :  234  :  120  ],Rx,PASSED,103
4,[  255  :  98  :  6  :  112  ],Rx,PASSED,103
5,[  0  :  87  :  54  :  252  ],Rx,PASSED,104
7,[  255  :  255  :  255  :  250  ],Rx,PASSED,104
8,[  0  :  0  :  0  :  5  ],Rx,PASSED,104
9,[  0  :  0  :  3  :  233  ],Rx,PASSED,106
10,[  0  :  0  :  0  :  167  ],Rx,PASSED,106
11,[  0  :  0  :  0  :  14  ],Rx,PASSED,106
12,[  255  :  255  :  255  :  236  ],Rx,PASSED,106
3,[  252  :  239  :  235  :  0  ],Rx,PASSED,113
4,[  255  :  93  :  6  :  100  ],Rx,PASSED,113
5,[  0  :  103  :  54  :  128  ],Rx,PASSED,113
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,113
8,[  0  :  0  :  0  :  4  ],Rx,PASSED,113
9,[  0  :  0  :  3  :  225  ],Rx,PASSED,116
10,[  255  :  255  :  255  :  140  ],Rx,PASSED,116
11,[  255  :  255  :  255  :  232  ],Rx,PASSED,116
12,[  0  :  0  :  0  :  102  ],Rx,PASSED,116
3,[  252  :  239  :  235  :  0  ],Rx,PASSED,124
4,[  255  :  93  :  6  :  100  ],Rx,PASSED,124
5,[  0  :  103  :  54  :  128  ],Rx,PASSED,124
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,124
8,[  0  :  0  :  0  :  4  ],Rx,PASSED,124
9,[  0  :  0  :  3  :  225  ],Rx,PASSED,125
10,[  255  :  255  :  255  :  140  ],Rx,PASSED,125
11,[  255  :  255  :  255  :  232  ],Rx,PASSED,125
12,[  0  :  0  :  0  :  102  ],Rx,PASSED,125
3,[  252  :  213  :  234  :  244  ],Rx,PASSED,131
4,[  255  :  76  :  6  :  16  ],Rx,PASSED,131
5,[  0  :  81  :  55  :  116  ],Rx,PASSED,131
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,132
8,[  255  :  255  :  255  :  255  ],Rx,PASSED,132
9,[  0  :  0  :  3  :  240  ],Rx,PASSED,135
10,[  255  :  255  :  254  :  198  ],Rx,PASSED,135
11,[  255  :  255  :  255  :  102  ],Rx,PASSED,135
12,[  255  :  255  :  255  :  190  ],Rx,PASSED,135
1,[  0  :  0  :  0  :  0  ],Rx,PASSED,141
2,[  0  :  0  :  0  :  0  ],Rx,PASSED,141
3,[  253  :  7  :  234  :  244  ],Rx,PASSED,141
4,[  255  :  76  :  6  :  124  ],Rx,PASSED,141
5,[  0  :  91  :  55  :  104  ],Rx,PASSED,141
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,146
8,[  0  :  0  :  0  :  6  ],Rx,PASSED,146
9,[  0  :  0  :  3  :  239  ],Rx,PASSED,146
10,[  0  :  0  :  0  :  67  ],Rx,PASSED,146
11,[  255  :  255  :  255  :  102  ],Rx,PASSED,146
12,[  0  :  0  :  0  :  11  ],Rx,PASSED,147
6,[  0  :  0  :  0  :  0  ],Rx,PASSED,147
13,[  0  :  9  :  116  :  0  ],Rx,PASSED,147
14,[  0  :  15  :  16  :  0  ],Rx,PASSED,147
15,[  0  :  5  :  60  :  0  ],Rx,PASSED,147
3,[  253  :  27  :  235  :  12  ],Rx,PASSED,150
4,[  255  :  47  :  6  :  84  ],Rx,PASSED,150
5,[  0  :  89  :  54  :  188  ],Rx,PASSED,151
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,151
8,[  0  :  0  :  0  :  3  ],Rx,PASSED,151
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,154
10,[  0  :  0  :  0  :  220  ],Rx,PASSED,154
11,[  255  :  255  :  254  :  137  ],Rx,PASSED,154
12,[  255  :  255  :  255  :  252  ],Rx,PASSED,154
3,[  253  :  27  :  235  :  12  ],Rx,PASSED,160
4,[  255  :  47  :  6  :  84  ],Rx,PASSED,160
5,[  0  :  89  :  54  :  188  ],Rx,PASSED,160
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,160
8,[  0  :  0  :  0  :  3  ],Rx,PASSED,160
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,163
10,[  0  :  0  :  0  :  220  ],Rx,PASSED,163
11,[  255  :  255  :  254  :  137  ],Rx,PASSED,163
12,[  255  :  255  :  255  :  252  ],Rx,PASSED,163
3,[  252  :  254  :  234  :  156  ],Rx,PASSED,169
4,[  255  :  70  :  6  :  112  ],Rx,PASSED,170
5,[  0  :  83  :  54  :  144  ],Rx,PASSED,170
7,[  255  :  255  :  255  :  252  ],Rx,PASSED,170
8,[  0  :  0  :  0  :  5  ],Rx,PASSED,170
9,[  0  :  0  :  3  :  226  ],Rx,PASSED,174
10,[  255  :  255  :  255  :  255  ],Rx,PASSED,174
11,[  255  :  255  :  255  :  56  ],Rx,PASSED,174
12,[  255  :  255  :  255  :  206  ],Rx,PASSED,174
3,[  252  :  223  :  235  :  12  ],Rx,PASSED,179
4,[  255  :  86  :  5  :  208  ],Rx,PASSED,179
5,[  0  :  100  :  55  :  152  ],Rx,PASSED,179
7,[  0  :  0  :  0  :  3  ],Rx,PASSED,179
8,[  255  :  255  :  255  :  251  ],Rx,PASSED,179
9,[  0  :  0  :  3  :  242  ],Rx,PASSED,184
10,[  255  :  255  :  255  :  18  ],Rx,PASSED,184
11,[  255  :  255  :  255  :  178  ],Rx,PASSED,184
12,[  0  :  0  :  0  :  79  ],Rx,PASSED,184
3,[  253  :  9  :  235  :  36  ],Rx,PASSED,189
4,[  255  :  68  :  6  :  92  ],Rx,PASSED,189
5,[  0  :  90  :  55  :  124  ],Rx,PASSED,189
7,[  0  :  0  :  0  :  5  ],Rx,PASSED,189
8,[  0  :  0  :  0  :  4  ],Rx,PASSED,189
9,[  0  :  0  :  3  :  240  ],Rx,PASSED,193
10,[  0  :  0  :  0  :  83  ],Rx,PASSED,193
11,[  255  :  255  :  255  :  41  ],Rx,PASSED,193
12,[  0  :  0  :  0  :  3  ],Rx,PASSED,193
13,[  0  :  15  :  136  :  0  ],Rx,PASSED,193
14,[  0  :  14  :  220  :  0  ],Rx,PASSED,193
15,[  0  :  14  :  204  :  0  ],Rx,PASSED,193
3,[  253  :  9  :  235  :  36  ],Rx,PASSED,198
4,[  255  :  68  :  6  :  92  ],Rx,PASSED,198
5,[  0  :  90  :  55  :  124  ],Rx,PASSED,198
7,[  0  :  0  :  0  :  5  ],Rx,PASSED,198
8,[  0  :  0  :  0  :  4  ],Rx,PASSED,198
9,[  0  :  0  :  3  :  240  ],Rx,PASSED,202
10,[  0  :  0  :  0  :  83  ],Rx,PASSED,202
11,[  255  :  255  :  255  :  41  ],Rx,PASSED,202
12,[  0  :  0  :  0  :  3  ],Rx,PASSED,202
3,[  253  :  13  :  234  :  240  ],Rx,PASSED,207
4,[  255  :  98  :  6  :  60  ],Rx,PASSED,207
5,[  0  :  82  :  55  :  28  ],Rx,PASSED,208
7,[  0  :  0  :  0  :  1  ],Rx,PASSED,208
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,208
9,[  0  :  0  :  3  :  235  ],Rx,PASSED,211
10,[  0  :  0  :  0  :  113  ],Rx,PASSED,211
11,[  0  :  0  :  0  :  14  ],Rx,PASSED,211
12,[  255  :  255  :  255  :  198  ],Rx,PASSED,211
3,[  252  :  252  :  234  :  212  ],Rx,PASSED,218
4,[  255  :  85  :  6  :  40  ],Rx,PASSED,218
5,[  0  :  93  :  55  :  68  ],Rx,PASSED,218
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,218
