FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  160  :  252  :  184  ],Rx,PASSED,0
4,[  255  :  238  :  7  :  4  ],Rx,PASSED,21
5,[  0  :  15  :  60  :  24  ],Rx,PASSED,21
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,21
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,21
9,[  0  :  0  :  3  :  225  ],Rx,PASSED,21
10,[  255  :  255  :  255  :  110  ],Rx,PASSED,25
11,[  255  :  255  :  255  :  207  ],Rx,PASSED,25
12,[  0  :  0  :  0  :  135  ],Rx,PASSED,25
6,[  0  :  0  :  0  :  0  ],Rx,PASSED,25
13,[  64  :  0  :  0  :  0  ],Rx,PASSED,25
14,[  64  :  80  :  28  :  0  ],Rx,PASSED,26
15,[  64  :  16  :  4  :  0  ],Rx,PASSED,26
3,[  255  :  160  :  252  :  184  ],Rx,PASSED,26
4,[  255  :  238  :  7  :  4  ],Rx,PASSED,30
5,[  0  :  15  :  60  :  24  ],Rx,PASSED,30
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,30
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,30
9,[  0  :  0  :  3  :  225  ],Rx,PASSED,30
10,[  255  :  255  :  255  :  110  ],Rx,PASSED,34
11,[  255  :  255  :  255  :  207  ],Rx,PASSED,34
12,[  0  :  0  :  0  :  135  ],Rx,PASSED,34
3,[  255  :  163  :  252  :  176  ],Rx,PASSED,34
4,[  255  :  240  :  6  :  252  ],Rx,PASSED,42
5,[  0  :  14  :  60  :  236  ],Rx,PASSED,42
7,[  0  :  0  :  0  :  0  ],Rx,PASSED,42
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,42
9,[  0  :  0  :  3  :  238  ],Rx,PASSED,42
10,[  0  :  0  :  0  :  37  ],Rx,PASSED,43
11,[  0  :  0  :  0  :  73  ],Rx,PASSED,43
12,[  0  :  0  :  0  :  74  ],Rx,PASSED,43
3,[  255  :  163  :  252  :  168  ],Rx,PASSED,43
4,[  255  :  241  :  7  :  0  ],Rx,PASSED,50
5,[  0  :  9  :  60  :  172  ],Rx,PASSED,50
7,[  255  :  255  :  255  :  255  ],Rx,PASSED,50
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,50
9,[  0  :  0  :  3  :  235  ],Rx,PASSED,50
10,[  0  :  0  :  0  :  37  ],Rx,PASSED,52
11,[  0  :  0  :  0  :  134  ],Rx,PASSED,52
12,[  255  :  255  :  255  :  25  ],Rx,PASSED,52
3,[  255  :  162  :  253  :  20  ],Rx,PASSED,52
4,[  255  :  241  :  7  :  128  ],Rx,PASSED,58
5,[  0  :  14  :  60  :  236  ],Rx,PASSED,58
7,[  0  :  0  :  0  :  6  ],Rx,PASSED,58
8,[  0  :  0  :  0  :  10  ],Rx,PASSED,58
9,[  0  :  0  :  3  :  238  ],Rx,PASSED,58
10,[  255  :  255  :  255  :  232  ],Rx,PASSED,62
11,[  0  :  0  :  0  :  134  ],Rx,PASSED,62
12,[  0  :  0  :  0  :  74  ],Rx,PASSED,62
1,[  0  :  8  :  3  :  16  ],Rx,PASSED,62
2,[  0  :  0  :  0  :  146  ],Rx,PASSED,68
30,[  0  :  0  :  0  :  0  ],Rx,PASSED,68
3,[  255  :  162  :  253  :  20  ],Rx,PASSED,68
4,[  255  :  241  :  7  :  128  ],Rx,PASSED,68
5,[  0  :  14  :  60  :  236  ],Rx,PASSED,68
7,[  0  :  0  :  0  :  6  ],Rx,PASSED,72
8,[  0  :  0  :  0  :  10  ],Rx,PASSED,72
9,[  0  :  0  :  3  :  238  ],Rx,PASSED,72
10,[  255  :  255  :  255  :  232  ],Rx,PASSED,72
11,[  0  :  0  :  0  :  134  ],Rx,PASSED,72
12,[  0  :  0  :  0  :  74  ],Rx,PASSED,74
13,[  64  :  0  :  0  :  2  ],Rx,PASSED,74
14,[  64  :  64  :  31  :  255  ],Rx,PASSED,74
15,[  64  :  16  :  4  :  0  ],Rx,PASSED,74
3,[  255  :  163  :  252  :  220  ],Rx,PASSED,74
4,[  255  :  241  :  6  :  232  ],Rx,PASSED,79
5,[  0  :  13  :  60  :  100  ],Rx,PASSED,79
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,79
8,[  0  :  0  :  0  :  0  ],Rx,PASSED,79
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,79
10,[  0  :  0  :  0  :  37  ],Rx,PASSED,81
11,[  0  :  0  :  0  :  134  ],Rx,PASSED,81
12,[  0  :  0  :  0  :  13  ],Rx,PASSED,81
3,[  255  :  161  :  252  :  84  ],Rx,PASSED,81
4,[  255  :  237  :  6  :  136  ],Rx,PASSED,89
5,[  0  :  13  :  60  :  44  ],Rx,PASSED,89
7,[  255  :  255  :  255  :  250  ],Rx,PASSED,89
8,[  255  :  255  :  255  :  251  ],Rx,PASSED,89
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,89
10,[  255  :  255  :  255  :  171  ],Rx,PASSED,90
11,[  255  :  255  :  255  :  146  ],Rx,PASSED,90
12,[  0  :  0  :  0  :  13  ],Rx,PASSED,90
3,[  255  :  163  :  252  :  92  ],Rx,PASSED,91
